country,internal_reporting,count,timestamp
LTU,True,5,2024-02-15
KOR,False,1,2024-02-15
TKM,,11,2024-02-15
NZL,,144,2024-02-15
THA,,2229,2024-02-15
CYP,False,3,2024-02-15
NOR,,173,2024-02-15
IRQ,,75,2024-02-15
MOZ,True,26,2024-02-15
VEN,,52,2024-02-15
SAU,True,691,2024-02-15
CHL,False,25,2024-02-15
TLS,,4,2024-02-15
EGY,False,12,2024-02-15
SAU,,94,2024-02-15
GRC,True,20,2024-02-15
LAO,False,1,2024-02-15
CAN,True,1,2024-02-15
DOM,,215,2024-02-15
PRT,True,56,2024-02-15
CYP,True,5,2024-02-15
LBR,True,4,2024-02-15
BHR,,4,2024-02-15
TWN,False,5,2024-02-15
NIC,,26,2024-02-15
CHL,True,62,2024-02-15
KHM,True,66,2024-02-15
MEX,True,292,2024-02-15
DOM,False,82,2024-02-15
SEN,True,1,2024-02-15
MNG,True,1,2024-02-15
GIB,True,16,2024-02-15
SSD,,3,2024-02-15
FJI,True,47,2024-02-15
PNG,True,24,2024-02-15
NAM,True,1,2024-02-15
SGP,False,98,2024-02-15
TTO,True,16,2024-02-15
ISR,False,9,2024-02-15
KWT,,23,2024-02-15
UKR,False,36,2024-02-15
MWI,,2,2024-02-15
MDV,True,22,2024-02-15
FJI,,49,2024-02-15
MRT,,24,2024-02-15
PER,,252,2024-02-15
MYS,True,314,2024-02-15
NLD,,1,2024-02-15
BTN,True,48,2024-02-15
SLE,True,4,2024-02-15
PAK,,59,2024-02-15
PAN,False,5,2024-02-15
VNM,True,78,2024-02-15
TUR,,767,2024-02-15
MKD,False,10,2024-02-15
BHR,False,7,2024-02-15
HKG,False,2,2024-02-15
MRT,True,1,2024-02-15
SLE,,43,2024-02-15
EGY,True,20,2024-02-15
MNE,,63,2024-02-15
TKM,True,7,2024-02-15
PHL,True,79,2024-02-15
PSE,True,19,2024-02-15
COM,True,7,2024-02-15
LCA,True,2,2024-02-15
MAR,,22,2024-02-15
MDG,,37,2024-02-15
SDN,,27,2024-02-15
GEO,,44,2024-02-15
OMN,,9,2024-02-15
MWI,True,53,2024-02-15
DOM,True,186,2024-02-15
KEN,False,18,2024-02-15
JPN,False,5,2024-02-15
CIV,False,3,2024-02-15
KGZ,False,2,2024-02-15
VNM,,54,2024-02-15
PAN,,13,2024-02-15
CIV,,5,2024-02-15
BLR,True,4,2024-02-15
LBR,,1,2024-02-15
IRQ,True,36,2024-02-15
KOR,,48,2024-02-15
KGZ,True,11,2024-02-15
SDN,False,1,2024-02-15
SLE,False,6,2024-02-15
ZAF,,43,2024-02-15
BTN,,53,2024-02-15
ISR,,17,2024-02-15
ZMB,True,3,2024-02-15
KIR,True,2,2024-02-15
PRT,,21,2024-02-15
OMN,True,16,2024-02-15
TUN,,4,2024-02-15
JOR,True,237,2024-02-15
CRI,False,40,2024-02-15
DZA,True,34,2024-02-15
LTU,,2,2024-02-15
IRN,,9,2024-02-15
PAK,False,17,2024-02-15
ZWE,True,3,2024-02-15
CYP,,3,2024-02-15
THA,True,575,2024-02-15
TWN,,79,2024-02-15
MYS,,96,2024-02-15
CHL,,39,2024-02-15
NGA,False,46,2024-02-15
MAC,,13,2024-02-15
PER,True,162,2024-02-15
ECU,True,240,2024-02-15
ZWE,False,6,2024-02-15
NGA,True,43,2024-02-15
SAU,False,35,2024-02-15
SRB,True,11,2024-02-15
CAN,,1,2024-02-15
PER,False,94,2024-02-15
WSM,False,3,2024-02-15
SDN,True,1,2024-02-15
MDV,False,22,2024-02-15
POL,False,15,2024-02-15
RUS,,1,2024-02-15
PAK,True,56,2024-02-15
HTI,True,5,2024-02-15
TUN,True,3,2024-02-15
KIR,,3,2024-02-15
GBR,True,1869,2024-02-15
BRN,False,4,2024-02-15
YEM,False,1,2024-02-15
IRQ,False,34,2024-02-15
BLZ,,49,2024-02-15
ITA,False,13,2024-02-15
ESP,False,3,2024-02-15
TTO,,48,2024-02-15
PRI,,1,2024-02-15
ESP,,16,2024-02-15
CHN,True,36,2024-02-15
MYS,False,70,2024-02-15
MAR,True,22,2024-02-15
NIC,False,19,2024-02-15
ZMB,False,3,2024-02-15
PAN,True,12,2024-02-15
KEN,,186,2024-02-15
PRI,True,1,2024-02-15
WSM,,12,2024-02-15
LKA,,29,2024-02-15
ISR,True,84,2024-02-15
MDV,,131,2024-02-15
POL,True,250,2024-02-15
LBN,,8,2024-02-15
IRL,True,6,2024-02-15
KEN,True,212,2024-02-15
TWN,True,47,2024-02-15
SLB,,3,2024-02-15
IRL,,7,2024-02-15
GHA,False,7,2024-02-15
SRB,False,1,2024-02-15
CMR,True,3,2024-02-15
UGA,True,145,2024-02-15
SHN,True,3,2024-02-15
PNG,False,9,2024-02-15
NGA,,69,2024-02-15
TUR,True,291,2024-02-15
MNE,True,63,2024-02-15
KHM,False,7,2024-02-15
HND,,27,2024-02-15
TON,False,3,2024-02-15
YEM,True,7,2024-02-15
SLV,,45,2024-02-15
ECU,,205,2024-02-15
GRD,,1,2024-02-15
ETH,False,6,2024-02-15
DMA,True,2,2024-02-15
GRC,,48,2024-02-15
SYR,,5,2024-02-15
DMA,False,2,2024-02-15
GIN,,104,2024-02-15
LBN,False,4,2024-02-15
COK,,7,2024-02-15
LBY,False,3,2024-02-15
SSD,True,1,2024-02-15
NZL,False,367,2024-02-15
